id,text,used
14,既婚者なのに独身のフリして近づいてくる男マジで最低。家庭がうまくいってないとか言い訳してくるけど、それなら離婚してから恋愛すればいいだけ。不倫に巻き込まれる側の気持ち考えたことある？時間も感情も無駄にして、最後は必ず傷つく。そんな男に引っかからないで。あなたには堂々と愛してくれる人がちゃんといるから。,False
15,デートの約束ドタキャンする人って何なの？しかも大した理由じゃないやつ。相手の時間を軽く見てる証拠だよね。準備して楽しみにしてた気持ちを踏みにじってる自覚ある？一回なら許せても、繰り返すなら関係見直した方がいい。時間を大切にしてくれる人じゃないと、この先もずっと振り回されることになるよ。,False
16,恋人ができたら友達と疎遠になる人いるけど、それ本当にもったいない。恋愛も大事だけど友情も同じくらい大切。彼氏と別れた時に戻る場所がないって寂しすぎるし、友達は恋愛相談にも乗ってくれる大切な存在。バランス取るの難しいけど、両方大切にできる人が本当に魅力的。恋愛だけに依存しない生き方の方が絶対幸せだよ。,False
17,告白されて断ったのに「友達でいよう」って言うのやめた方がいい。期待持たせるだけで相手のためにならないし、本当の友達関係にも戻れない。はっきり断ることが優しさの時もある。中途半端な関係は誰も幸せにしないよ。勇気出して告白してくれた相手への礼儀として、誠実な対応することが大事だと思うんだ。,False
18,恋愛で大事なのは、相手の良いところを見つける目と悪いところを許せる心。完璧な人なんていないし、自分も完璧じゃない。お互いの不完全さを認め合って、それでも一緒にいたいって思える関係が理想。減点方式じゃなくて加点方式で相手を見てあげて。そうすると、毎日小さな幸せが見つかるようになるよ。,False
19,LINEの返信遅い人を好きになっちゃうと辛いよね。既読スルーされて不安になって、やっと返信きてホッとしての繰り返し。でもさ、本当に大切に思ってる相手にはちゃんと返信するもの。忙しくても一言くらい送れるはず。返信の優先順位が低いってことは、あなたの優先順位も低いってこと。もっと大切にしてくれる人を探そう。,False
20,彼女のこと「うちの嫁」って呼ぶ男いるけど、まだ結婚してないのに嫁って何？所有物みたいな呼び方やめてほしい。名前で呼ぶか「彼女」でいいじゃん。言葉遣いって大事で、相手をどう思ってるかが現れる。尊重してる相手には自然と丁寧な言葉使うもの。そういう細かいところも見て、付き合う相手選んだ方がいいよ。,False
21,別れ話をLINEで済ませようとする男って最低だよね。どんだけ長く付き合ってても、最後くらい直接会って話すのが礼儀でしょ。相手の顔も見ずに関係終わらせるなんて、今まで一緒に過ごした時間を何だと思ってるの？そんな別れ方する男とは別れて正解。次はちゃんと向き合ってくれる誠実な人と出会えるから大丈夫だよ。,False
22,マッチングアプリで会った人が写真と別人だった時の絶望感分かる？加工しすぎて原型とどめてないやつ。嘘から始まる関係なんてうまくいくわけないじゃん。ありのままの自分を好きになってもらえなきゃ意味ないし、いつかバレる嘘つく意味ある？正直に自分を見せる勇気がある人の方が、結局いい出会いに繋がるんだよ。,False
23,恋愛依存症の友達見てて思うけど、彼氏いないと死ぬわけじゃないのに、なんでそんなに焦るの？一人の時間を楽しめない人は、二人でいても幸せになれないよ。自分で自分を幸せにできるようになってから恋愛した方が、依存じゃなくて本当の愛を築ける。まず自分と向き合う時間を大切にしてみて。,False
24,結婚式で「新婦を幸せにします」って言う新郎多いけど、幸せって与えられるものじゃなくて一緒に作るものだよね。片方が幸せにするんじゃなくて、お互いが幸せにし合う関係が理想。そういう対等な関係築ける相手と結婚できたら最高。上下関係じゃなくてパートナーシップを大切にできる人を選んでほしい。,False
25,好きな人ができると周りが見えなくなる人いるけど、それって危険信号。冷静な判断できなくなって、相手の悪いところも見えなくなる。友達の意見も聞かなくなって、後で後悔することになる。恋は盲目って言うけど、目を開けたまま恋した方がいい。相手の良いところも悪いところも全部見た上で、それでも好きって思えるのが本物だから。,False
26,元カノの話ばっかりする男と付き合ってる子、それ絶対やめた方がいい。比較されてる時点で失礼だし、元カノ忘れられてない証拠。あなたは誰かの代わりじゃないし、比較対象でもない。唯一無二の存在として大切にしてくれる人がいるから、そんな男に時間使わないで。過去じゃなくて今を見てくれる人を選ぼう。,False
27,「束縛は愛情の証」とか言う人いるけど、それ違うから。本当の愛情は相手を信頼することで、束縛は不安と支配欲の現れ。スマホチェックしたり、友達と会うの制限したり、そんなの愛じゃない。お互いを尊重して、自由も大切にできる関係が健全。束縛されて苦しいなら、それは愛じゃなくて執着だよ。,False
28,プロポーズされたら絶対イエスって言わなきゃいけない雰囲気あるけど、迷いがあるなら時間もらっていいんだよ。一生を決める大事な選択なのに、その場の雰囲気で決めるなんて無責任。じっくり考えて、本当にこの人と人生歩みたいか確認してから返事すればいい。それで怒るような相手なら、そもそも結婚しない方がいいよ。,False
29,恋愛で傷ついた後って、次の恋愛が怖くなるよね。でも傷ついた分だけ強くなれるし、人の痛みも分かるようになる。失恋は成長のチャンスでもあるんだよ。時間かけて癒やして、また誰かを信じられるようになったら、前より素敵な恋愛ができる。急がなくていいから、自分のペースで前に進んでいこう。,False
30,デート代全部出させる女も、割り勘にこだわる男も、どっちも極端すぎ。大事なのはバランスと思いやり。今日は俺が出すよ、次は私が出すね、そんな自然なやり取りができる関係がいい。お金の話って難しいけど、価値観合わないと後々揉めるから、早めに確認しといた方がいいよ。ケチな人とも、たかる人とも幸せにはなれないから。,False
31,彼氏の女友達に嫉妬しちゃう気持ちめっちゃ分かる。でもさ、本当に信頼できる相手なら不安にならないはず。嫉妬する前に、なんで不安になるのか考えてみて。彼の態度が原因？それとも自分の自信のなさ？原因が分かれば対処法も見えてくる。ただ、明らかに距離感おかしい女友達いるなら、それは彼にちゃんと言った方がいいよ。,False
32,交際0日婚とかスピード婚を否定はしないけど、相手のこと本当に知ってる？優しい人だと思ってたのに、生活始めたら別人だったってよくある話。恋愛の顔と結婚の顔は違うし、日常を共にして初めて見える部分もある。ビビッときたから運命！じゃなくて、時間かけてお互いを知ることも大事。焦って失敗するより、確実な幸せ選ぼう。,False
33,「彼女なんだから〇〇して当たり前」みたいな考えの男マジ無理。彼女は家政婦でもママでもないから。対等な関係なのに、なんで女性側だけ尽くさなきゃいけないの？料理も掃除も二人でやればいいし、お互いに支え合うのが恋愛でしょ。当たり前を押し付けてくる男とは、早めに別れた方が身のためだよ。,False
34,失恋した直後に新しい出会い探すのちょっと待って。心の整理ついてないまま次行っても、同じパターン繰り返すだけ。なんでうまくいかなかったのか、自分は何を求めてるのか、ちゃんと考える時間必要。リバウンドで付き合っても、結局また傷つくことになる。一人の時間を大切にして、準備できてから次の恋に進もう。,False
35,モテる女の特徴って見た目じゃなくて余裕があることだと思う。必死感が出てる人より、自分の人生楽しんでる人の方が魅力的に見える。男に振り回されない、依存しない、自立してる。そういう女性のところには自然といい男が集まってくる。モテたいなら男のこと考えるより、自分の人生充実させることから始めてみて。,False
36,別れ際に「お前なんか誰も愛さない」とか暴言吐く男いるけど、それ負け惜しみだから真に受けないで。本当は手放したくないのに引き止められなくて、悔しくて傷つけようとしてるだけ。そんな言葉に振り回される必要ない。むしろそんなこと言う男と別れられてラッキー。次はもっと素敵な人があなたを大切にしてくれるから。,False
37,二股かけられた経験ある人なら分かると思うけど、あの裏切られた感じ一生忘れられないよね。でも二股する人って誰と付き合っても同じことするから、あなたのせいじゃない。むしろ早めに本性分かって良かったと思おう。誠実じゃない人と長く付き合うより、さっさと切って新しい出会い探した方が時間の無駄にならないよ。,False
38,恋愛相談する相手は選んだ方がいい。不幸な恋愛してる人に相談しても、ネガティブなアドバイスしかもらえない。逆に幸せな恋愛してる人は、前向きで建設的な意見くれる。あと男友達の「そんな男やめとけ」は大体当たってるから聞いといた方がいい。男は男のダメさをよく知ってるから、その意見は貴重だよ。,False
39,付き合う前は毎日連絡くれたのに、付き合ったら既読スルーが増えた。これ釣った魚に餌やらないパターンだよね。手に入れたら安心して努力しなくなる男は最悪。関係は継続的な努力が必要なのに、それが分からない人と長続きするわけない。大切にされなくなったと感じたら、早めに話し合うか関係見直した方がいいよ。,False
40,恋愛がうまくいってる時こそ油断禁物。調子いい時は相手の嫌なところも見えなくなるし、問題も見て見ぬふりしがち。でも小さな違和感を無視してると、後で大きな問題になって返ってくる。幸せな時こそ冷静に、相手との関係を客観的に見ることが大事。それができれば、長く幸せな関係を続けられるはずだよ。,False
41,告白して振られるのが怖いって気持ち分かるけど、何もしないで後悔する方がもっと辛いよ。振られても「自分には合わなかった人だった」って納得できるし、次に進める。でも告白しなかったら一生「もしかしたら」って引きずることになる。勇気出して気持ち伝えた自分を褒めてあげて。その勇気がいつか本当の幸せに繋がるから。,False
42,彼氏のインスタに自分の写真が一枚もないって悩んでる子いるけど、それ隠されてる可能性あるよ。付き合ってること公表したくない理由があるってこと。他に狙ってる女がいるか、キープしたい相手がいるか。本当に大切に思ってたら、堂々と彼女として紹介するはず。隠し事が多い関係に未来はないから気をつけて。,False
43,恋愛で一番ダメなのは、相手に合わせすぎて自分を見失うこと。好きな人の趣味に合わせて、好きな食べ物も合わせて、性格まで変えようとする。それじゃあなたの魅力が消えちゃう。自分らしさを大切にしながら、相手と調和する部分を見つけるのが理想。無理して変わる必要ないよ、素のあなたを好きになってくれる人が必ずいるから。,False
44,遠距離恋愛って本当に大変だよね。会えない寂しさ、連絡取れない不安、すれ違いも増える。でも遠距離を乗り越えられるカップルは最強だと思う。物理的な距離があっても心が繋がってる証拠だし、信頼関係がしっかりしてる。ただ、期限を決めずにダラダラ続けるのは良くない。いつまでにどうするか、二人で話し合うことが大事。,False
45,「重い」「めんどくさい」が口癖の男と付き合ってる子、今すぐ別れた方がいい。あなたの愛情表現を重いと感じる男は、そもそも愛情のキャパが小さすぎる。本当に好きな相手からの愛情なら、どんなに多くても嬉しいはず。あなたの愛を受け止められない器の小さい男に時間使うより、全部受け止めてくれる男を探そう。,False
46,SNSで元カレの新しい彼女チェックしちゃう人いるよね。比較して落ち込んだり、「私の方が可愛い」って優越感持ったり。でもそれ何の意味もないから今すぐやめて。元カレが誰と付き合おうが、もうあなたには関係ない。過去じゃなくて今を見て。あなたにはもっと素敵な未来が待ってるんだから、後ろ振り返ってる暇ないよ。,False
47,プレゼント要求してくる彼女もどうかと思うけど、記念日忘れる彼氏もどうかと思う。物じゃなくて気持ちが大事なんだよ。高いもの買えとかじゃなくて、相手のこと考えて選んでくれたかが重要。手紙一枚でも、心がこもってれば嬉しい。逆に高級品でも、適当に選んだの分かると冷める。大切なのは値段じゃなくて想いだよ。,False
48,付き合いたてはラブラブだったのに、最近マンネリ化してきたって悩んでる人多い。でもマンネリは悪いことじゃないよ。ドキドキが安心感に変わっただけ。問題は、安心しきって努力しなくなること。デートの計画立てなくなったり、身だしなみ適当になったり。長続きする秘訣は、付き合いたての気持ちを忘れないことだよ。,False
49,浮気された後に「もう一度チャンスをください」って言われて悩む気持ち分かる。好きだから許したい、でも信じられない。その葛藤すごく辛いよね。でも一度裏切った人は高確率でまた裏切る。信頼って一度壊れたら元には戻らない。許すことと、また付き合うことは別。許して前に進む方が、お互いのためになることもあるよ。,False
50,恋愛体質の人って、恋愛してないと生きてる意味がないみたいに思ってるけど、それ違うから。仕事も趣味も友達も、人生には恋愛以外にも大切なものがたくさんある。恋愛だけに依存すると、相手が重荷に感じて逃げていく。バランスの取れた生活してる人の方が魅力的だし、結果的にいい恋愛もできるようになるよ。,False
51,会うたびにケンカするカップルいるけど、それって相性悪いんじゃない？好きだけど合わないって一番辛いパターン。価値観も考え方も違いすぎて、一緒にいると疲れる。愛情だけじゃ乗り越えられない壁もあるんだよ。無理して続けるより、お互いにもっと合う人探した方が幸せになれる。好きと合うは別物だって理解することも大切。,False
52,彼氏の携帯勝手に見る女いるけど、それやめた方がいい。見て何もなくても疑い続けるし、何か見つけたら関係終わる。どっちにしても不幸になるだけ。信頼できないなら、そもそも付き合う意味ないでしょ。携帯見たくなるような不安な関係より、見る必要もないくらい安心できる関係を築ける人を選んだ方がいいよ。,False
53,好きな人に振り向いてもらおうと必死で自分変えようとする人いるけど、それ続かないよ。演技して付き合えても、素の自分出した時に幻滅される。最初から本当の自分を見せて、それでも好きって言ってくれる人じゃないと長続きしない。無理して作った関係は疲れるだけ。ありのままのあなたを愛してくれる人が絶対いるから。,False
54,デートで割り勘にするのはいいけど、1円単位まで計算する男はケチすぎ。そういう男は結婚しても財布別々で、家事は全部女性にやらせるタイプ。お金にシビアなのと、ケチなのは違う。相手を喜ばせることにお金使えない人は、愛情表現も下手。多少お金にルーズでも、気前よく使える人の方が一緒にいて楽しいよ。,False
55,復縁したいって相談よく受けるけど、別れた理由が解決してないなら復縁しても同じこと繰り返すだけ。時間が経って美化されてるだけで、また付き合ったら現実に戻される。それより新しい出会いに期待した方がいい。過去の恋愛は思い出として大切にして、未来に向かって進もう。戻るより前に進む方が幸せに近づけるよ。,False
56,「彼女より仕事」って言う男いるけど、それ言い訳だから。本当にできる男は両立できる。仕事忙しくても、5分の電話くらいできるはず。大切に思ってたら時間作るもの。仕事を理由に放置されてるなら、それは優先順位が低いってこと。あなたを一番に考えてくれる人じゃないと、この先も寂しい思いすることになるよ。,False
57,恋愛経験少ないことをコンプレックスに思ってる人いるけど、経験の数じゃなくて質が大事。100人と浅い関係より、1人と深い関係築ける方が価値がある。恋愛経験豊富でも、同じ失敗繰り返してる人たくさんいる。大切なのは、一つ一つの恋愛から何を学んで、どう成長するか。焦らず自分のペースで進めばいいんだよ。,False
58,「いい人なんだけど、ドキドキしない」って悩む人多いけど、ドキドキって不安の裏返しだったりする。連絡来ないかも、振られるかも、そういう不安がドキドキを生む。安心できる相手といると穏やかな気持ちになるのは当然。ドキドキより、一緒にいて心地いいかを重視した方が、長く幸せな関係築けるよ。,False
59,彼氏が女友達と二人で飲みに行くの許せる？これ価値観の問題だけど、嫌なものは嫌って言っていいと思う。我慢して溜め込むより、正直に気持ち伝えた方がいい。それで「束縛するな」って怒る男なら、あなたの気持ちより自分の自由を優先する男ってこと。お互いが心地いい距離感見つけられる相手じゃないと続かないよ。,False
60,恋愛してると友達の意見が耳に入らなくなる人いるけど、友達こそ一番冷静にあなたを見てる。「その男やばいよ」って言われたら、一度立ち止まって考えてみて。恋は盲目になりがちだけど、第三者の意見は貴重。特に複数の友達が同じこと言うなら、それは真実の可能性高い。友達はあなたの幸せを願って言ってくれてるんだから。,False
61,結婚前提で付き合ってるのに、何年経ってもプロポーズしない男いるよね。そういう男は結婚する気ないから。本当に結婚したいなら行動に移すはず。「まだ早い」「もう少し待って」って言い訳ばかり。女性には出産のタイムリミットもあるのに、それを考えない男は自己中すぎる。期限決めて、それでも動かないなら見切りつけた方がいいよ。,False
62,好きな人のタイプ聞かれて「優しい人」って答える人多いけど、優しいだけじゃダメだよ。誰にでも優しい人は、あなたを特別扱いしてくれない。大事なのは、あなたに対して特別な優しさを向けてくれるかどうか。それと、都合のいい時だけ優しい男には要注意。本当の優しさは、辛い時や大変な時にこそ発揮されるものだから。,False
63,ケンカした時に無視する男マジで最悪。問題から逃げてるだけじゃん。話し合いもせずに黙り込むなんて、子供かよ。大人なら向き合って解決しようとするはず。無視は精神的な暴力だよ。そんなことする男と一緒にいても、ずっと我慢することになる。ちゃんとコミュニケーション取れる相手じゃないと、関係は続かないよ。,False
64,恋愛始まったばかりの時って相手のこと美化しちゃうよね。欠点も可愛く見えるし、全てが完璧に思える。でも3ヶ月もすれば現実が見えてくる。そこで幻滅するか、それでも好きでいられるか。本当の恋愛は、相手の嫌な部分も知った上で、それでも一緒にいたいと思えるかどうか。完璧な人なんていないって理解することが大事。,False
65,セフレから恋人になれるって思ってる人いるけど、それ幻想だから。最初から体目的で始まった関係が、本当の愛に変わることは稀。都合のいい関係に甘んじてる限り、大切にされることはない。自分の価値を安売りしないで。本当にあなたを大切に思う人は、最初から恋人として向き合ってくれるはず。,False
66,彼氏の元カノと自分を比較しちゃう人いるけど、それ意味ないからやめよう。元カノは元カノ、あなたはあなた。比較して劣等感持っても、優越感持っても、どっちも不健康。大事なのは今の関係。過去じゃなくて現在と未来を見て。彼が選んだのはあなたなんだから、自信持って堂々としてればいいんだよ。,False
67,男友達から彼氏になるパターンって結構うまくいくよね。最初から素の自分を見せてるし、相性も分かってる。ドキドキは少ないかもしれないけど、安心感がある。友達期間が土台になって、信頼関係も築きやすい。ただ、失敗したら友達にも戻れないリスクはある。でも本当に好きなら、挑戦する価値はあると思うよ。,False
68,付き合って1週間で「結婚しよう」とか言う男には気をつけて。そんな短期間で人のこと分かるわけない。勢いだけで結婚決めたら後悔する。本当に結婚考えてる男は、じっくり時間かけてお互いを知ろうとする。早すぎるプロポーズは、責任感がない証拠。または他に下心があるかも。冷静に判断することが大切だよ。,False
69,彼氏がSNSでいいねしてる女の子チェックする人いるけど、それやって幸せになれた人見たことない。見れば見るほど不安になるし、疑心暗鬼になるだけ。SNSなんて表面的なもの。いいねくらいで浮気認定してたら、息苦しい関係になる。信じられないなら付き合わない方がいいし、付き合うなら信じる覚悟を持とう。,False
70,恋愛で大事なのは、減点法じゃなくて加点法で相手を見ること。完璧を求めて粗探ししてたら、誰とも幸せになれない。小さな優しさに気づいて、感謝の気持ちを忘れない。相手の良いところを見つけて褒める。そうやって関係を育てていけば、自然と愛情も深まる。批判より感謝、要求より思いやりを大切にしよう。,False
71,親に紹介してくれない彼氏って何なの？付き合って1年以上経ってるのに、家族の話も避ける。それって本気じゃない証拠だよ。真剣に将来考えてる相手なら、家族にも会わせたいと思うはず。いつまでも隠し続けるなんて、都合のいい関係でしかない。親に堂々と紹介してくれる、そんな誠実な男を選んだ方がいいよ。,False
72,失恋直後に髪切る女子の気持ちめっちゃ分かる。心機一転したいし、新しい自分になりたい。でも衝動的に切ると後悔することもある。髪は切ってもすぐ伸びるけど、心の傷はそう簡単には癒えない。外見変えるより、内面と向き合う方が大事。自分を大切にして、ゆっくり立ち直っていけばいい。焦らなくても、時間が解決してくれるから。,False
73,「俺のこと信じてくれないの？」って言う男ほど信用できない。本当に信頼できる人は、そんなこと言わなくても行動で示す。疑われるような行動しといて、信じろって都合良すぎ。信頼は言葉じゃなくて、日々の積み重ねで築くもの。「信じて」じゃなくて、信じられる行動をしてくれる人を選ぼう。,False
74,デートの度に「何食べたい？」「どこ行きたい？」って全部女性に決めさせる男いるよね。優しいふりして、実は何も考えてないだけ。たまには自分でプラン立てて、リードしてほしい。いつも決める側は疲れるし、大切にされてない感じする。お互いが提案し合える関係が理想。主体性のない男とは、つまらない未来しか待ってないよ。,False
75,恋愛相談で「時間が解決する」ってよく言うけど、ただ待ってるだけじゃ解決しない。新しいこと始めたり、自分磨きしたり、行動することで時間が味方になる。家でウジウジしてても変わらない。ジム行ったり、習い事始めたり、友達と遊んだり。充実した時間過ごしてるうちに、気づいたら立ち直ってるもんだよ。,False
76,彼女の話を聞かない男多すぎ。スマホ見ながら適当に相槌打って、後で「そんな話聞いてない」とか言う。話聞いてくれないなら、一緒にいる意味ある？コミュニケーションは恋愛の基本なのに、それができない男と付き合っても幸せになれない。ちゃんと目を見て、真剣に話を聞いてくれる人を選んでね。,False
77,モテない男に限って理想高すぎる問題。自分のこと棚に上げて、相手にばかり求める。可愛くて、優しくて、家庭的で、自分に尽くしてくれる女性なんて、そんな都合のいい人いないから。まず自分が相手に何を与えられるか考えるべき。Give&Takeができない人は、恋愛も結婚もうまくいかないよ。,False
78,別れ話する時に「お前のせいだ」って全部相手のせいにする人いるけど、関係が壊れるのは一方的じゃない。お互いに原因がある。自分の非を認められない人は、次の恋愛でも同じ失敗する。反省できない人は成長もしない。別れる時こそ、お互いを尊重して、感謝の気持ちを忘れずにいたいよね。,False
79,付き合いたての頃は毎日会いたいって思うけど、それ続けてたら疲れる。適度な距離感って本当に大事。お互いの時間も大切にしながら、会える時間を特別にする。毎日会ってマンネリ化するより、会えない時間があるからこそ、会った時の喜びが大きくなる。依存じゃなくて、自立した関係を築こう。,False
80,「浮気は男の本能」とか言い訳する男いるけど、理性でコントロールできないなら人間じゃなくて動物じゃん。本能を言い訳にして、パートナーを傷つけていいわけない。浮気しない男だってたくさんいる。「本能だから仕方ない」じゃなくて、「愛してるから浮気しない」って言える男を選んでください。,False
81,付き合う前はマメだったのに、付き合ったら雑になる男の心理って何なの？手に入れたら満足して、努力しなくなるタイプは最悪。恋愛は付き合ってからが本番なのに、そこで手を抜くなんて愛がない証拠。大切な人ほど、ずっと大切にし続けるものでしょ。釣った魚に餌をあげ続けてくれる、そんな男を選んでね。,False
82,自分の友達と彼氏を会わせたがらない女子いるけど、それって自信がないから？友達に取られる心配してるの？本当に信頼関係があれば、そんな心配いらない。むしろ大切な人同士を引き合わせたいと思うはず。隠し事が多い関係は長続きしない。オープンで健全な関係を築ける相手と付き合った方が幸せだよ。,False
83,「お前には俺しかいない」って言って束縛する男、それ洗脳だから気をつけて。自己肯定感下げて、依存させようとしてるだけ。本当はあなたには無限の可能性があるし、もっと素敵な人もたくさんいる。狭い世界に閉じ込めようとする男じゃなくて、あなたの世界を広げてくれる男を選んでください。,False
84,恋愛してない期間を無駄だと思ってる人いるけど、一人の時間こそ自分と向き合える貴重な時期。自分が何を求めてるか、どんな人生を送りたいか、じっくり考えられる。恋愛に依存してた自分から脱却して、自立した魅力的な人間になれるチャンス。充実した一人時間を過ごせる人は、次の恋愛もうまくいくよ。,False
85,彼氏の過去を根掘り葉掘り聞きたがる人いるけど、知って幸せになれる？元カノとの思い出とか、過去の恋愛遍歴とか、知らない方がいいこともある。大事なのは今と未来。過去にとらわれてると、今の関係も壊れる。彼の過去じゃなくて、今のあなたとの時間を大切にしよう。,False
86,マッチングアプリで出会うことを恥ずかしいと思う必要ないよ。今の時代、出会い方なんて関係ない。大事なのは、どんな関係を築けるか。アプリだろうと、合コンだろうと、職場だろうと、運命の人に出会えたらそれでいい。出会い方にこだわって機会を逃すより、積極的に行動した方が幸せに近づけるよ。,False
87,喧嘩のたびに別れ話を持ち出す人いるけど、それ相手を脅してるだけ。本気じゃない別れ話は、信頼関係を壊すだけ。「別れる」は最後の切り札で、簡単に使っちゃダメ。問題があるなら、別れじゃなくて解決策を考えるべき。安易に別れを口にする人は、本当に大切な人を失うことになるよ。,False
88,付き合ってるのに「好き」って言葉を全然言わない人いるよね。照れ屋なのか、愛情表現が下手なのか。でも言葉にしないと伝わらないこともある。「言わなくても分かるでしょ」は甘え。相手を不安にさせるくらいなら、恥ずかしくても気持ちを言葉にした方がいい。愛情表現は恥ずかしいことじゃないよ。,False
89,既読スルーされて一喜一憂してる人多いけど、LINEなんて所詮連絡ツール。返信の早さで愛情測ろうとするのは違う。忙しい時もあるし、返信に困る内容の時もある。大事なのは、会った時にどう接してくれるか。LINEの返信に振り回されるより、直接会った時の態度を見た方が、相手の本心が分かるよ。,False
90,恋愛で幸せになれない人の特徴は、相手に期待しすぎること。完璧な恋人なんていないし、全ての期待に応えるのは無理。期待が大きいほど、裏切られた時のダメージも大きい。相手に多くを求めるより、自分で自分を幸せにする力を身につけよう。そうすれば、相手からの愛情は全てボーナスになるから。,False
91,「君のためを思って言ってる」って前置きして、ひどいこと言う男いるよね。それ君のためじゃなくて、自分が言いたいだけ。本当に相手のことを思うなら、傷つけない言い方を考えるはず。愛があれば言葉も選ぶ。厳しいことを愛のムチだと勘違いしてる男には要注意。優しく包んでくれる愛の方が、人は成長できるんだよ。,False
92,合コンで必死にアピールしてる男見ると冷める。自慢話ばっかりで、人の話聞かない。年収とか会社名とか、スペック押しの男は中身がない証拠。本当に魅力的な人は、自然体でいても輝いてる。必死さが見えると逆効果。余裕があって、聞き上手で、さりげなく優しい。そういう男の方が断然モテるよね。,False
93,好きな人に彼女がいるって知った時の絶望感、分かる人いる？でも彼女がいる男を好きになっても幸せになれない。略奪愛なんて、結局誰も幸せにしない。彼女がいるなら潔く諦めて、フリーの素敵な人を探そう。あなたを一番に選んでくれる人じゃないと、本当の幸せは掴めないから。,False
